Stt;Công ty;CODE;Địa chỉ;MST ;STK;Ngân hàng;Hạn HĐ;Phương thức thanh toán;Ghi chú
1;CHI NHÁNH CẦN THƠ - TRUNG TÂM DỊCH VỤ PHÂN TÍCH THÍ NGHIỆM THÀNH PHỐ HỒ CHÍ MINH;CASE CT; F2-67, F2-68 đường Nguyễn Thị Sáu, Phường Hưng Phú, TP Cần Thơ, Việt Nam.;0319238568-001;128000151681;NH TMCP Công thương Việt Nam - CN TPHCM;;30 ngày từ ngày xuất HĐ;Đang đợi kí lại
2;CHI NHÁNH HCM - TRUNG TÂM DỊCH VỤ PHÂN TÍCH THÍ NGHIỆM THÀNH PHỐ HỒ CHÍ MINH;CASE HCM ;02 Nguyễn Văn Thủ, Phường Tân Định, Thành phố Hồ Chí Minh, Việt Nam;0302554935;116000004970;Vietinbank - Chi nhánh TP. HCM;19/6/25;30 ngày từ ngày xuất HĐ;
3;CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ CATECH VIỆT NAM;CATECH;Số 45 đường 3/2, P. Xuân Khánh, Q. Ninh Kiều, TP. Cần Thơ;1800271434;111000014122; Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cần Thơ;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
4;CÔNG TY TNHH GIÁM ĐỊNH VÀ CHỨNG NHẬN CCIC VIỆT NAM CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH;CCIC;Nhà xưởng cao tầng Long Hậu, Lô L2, Khu công nghiệp Long Hậu, Cần Giuộc, Long An;4101399525-001;19040128624018;Techcombank- Chi nhánh Tân Qui;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
5;CÔNG TY CP DỊCH VỤ KHOA HỌC CÔNG NGHỆ CHẤN NAM;CHẤN NAM;80-82-84 Thăng Long, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh, Việt Nam;0311927735;71000717137;Ngân hàng Vietcombank HCM;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
6;TRUNG TÂM HẠT NHÂN TP.HỒ CHÍ MINH;CNT;217 Nguyễn Trãi, Phường Cầu Ông Lãnh, Thành phố Hồ Chí Minh, Việt Nam.;0301514584;0071000077779;Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh TP. HCM;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
7;CÔNG TY TNHH CONTROL UNION VIỆT NAM;CONTROL UNION;"Số 61-63 Đường Đặng Như Mai, Phường Cát Lái, Thành phố Hồ Chí Minh,
Việt Nam.";0302854488;007 100 0891902;Ngân hàng TMCP Ngoại Thương Việt Nam – Chi nhánh Hồ Chí Minh;29/9/26;30 ngày từ ngày xuất HĐ;Hợp đồng tự động gia hạn từng năm
8;CÔNG TY TNHH EUROFINS SẮC KÝ HẢI ĐĂNG - chi nhánh Cần Thơ;EUROFINS CT;Phòng 319 , Vườn Ươm Công Nghệ Công Nghiệp VN-HQ , KCN Trà Nóc , Phước Thới , Ô Môn, TP. Cần Thơ;0311526885;071000695552;Ngân hàng TMCP Ngoại Thương Việt Nam (Vietcombank) Chi nhánh TP. HCM;31/12/25;30 ngày từ ngày xuất HĐ;Đã liên hệ kí lại hợp đồng
9;CÔNG TY TNHH EUROFINS SẮC KÝ HẢI ĐĂNG - chi nhánh Hồ Chí Minh;EUROFINS HCM;"Lô E2b-3, Đường D6, Khu Công Nghệ Cao, Phường Tăng Nhơn Phú, Thành phố Hồ Chí
Minh, Việt Nam";0311526885;071000695552;Ngân hàng TMCP Ngoại Thương Việt Nam (Vietcombank) Chi nhánh TP. HCM;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
10;CÔNG TY CỔ PHẦN DỊCH VỤ TƯ VẤN MÔI TRƯỜNG HẢI ÂU;HẢI ÂU;"3, Đường Tân Thới Nhất 20, Khu Phố 4, Phường Đông Hưng Thuận, Thành phố Hồ Chí
Minh";0309387095;140214851021608;Ngân hàng xuất nhập khẩu Việt Nam ( EIB) Quận 4, TP. HCM;31/12/26;15 ngày từ ngày xuất HĐ;
11;TRUNG TÂM HẠT NHÂN ĐÀ LẠT;HNDL;01 Nguyên Tử Lực, Phường Lâm Viên - Đà Lạt, tỉnh Lâm Đồng, Việt Nam;5800197629;1365686879;Ngân hàng TMCP Ngoại thương Việt Nam Chi nhánh Lâm Đồng;;30 ngày từ ngày xuất HĐ;Đã kí mới 2026, đang đợi gửi lại 
12;CÔNG TY TNHH MỘT THÀNH VIÊN KHOA HỌC CÔNG NGHỆ HOÀN VŨ;HOÀN VŨ;169B Thích Quảng Đức, Phường Đức Nhuận, TP. HCM;0304932124;47870519;Tại Ngân hàng ACB - Chi Nhánh Tân Phú;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
13;CÔNG TY TNHH INTERTEK VIỆT NAM-CHI NHÁNH CẦN THƠ;INTERTEK;"M10,	11,	12,	13	Khu	đô	thị	Nam	Sông	Can	Thơ,	Khu	vực	Thạnh	Thuâ ̣n,	Phường	Hưng	Phú ,	TP.	Can	Thơ,	Việt	Nam";0100773892-002;0111000808520;Ngân Hàng Ngoại Thương Cần Thơ;31/12/25;30 ngày từ ngày xuất HĐ;Tạm ngưng gửi mẫu
14;VIỆN NGHIÊN CỨU VÀ PHÁT TRIỂN SẢN PHẨM THIÊN NHIÊN;IRDOP;176 Phùng Khoang, Phường Đại Mỗ, Thành phố Hà Nội, Việt Nam;0107149919;16356688;Ngân hàng Á Châu-PGD Trung Văn;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
15;TRUNG TÂM CHẤT LƯỢNG, CHẾ BIẾN VÀ PHÁT TRIỂN THỊ TRƯỜNG VÙNG 4;NAFI 4;271 Tô Ngọc Vân, Phường Hiệp Bình, Thành phố Hồ Chí Minh, Việt Nam;0301464728;117000004257;Ngân Hàng TMCP Công Thương VN-Chi nhánh 5;31/12/26;07 ngày từ ngày xuất HĐ;
16;TRUNG TÂM CHẤT LƯỢNG, CHẾ BIẾN VÀ PHÁT TRIỂN THỊ TRƯỜNG VÙNG 6;NAFI 6;Số 386C đường Cách Mạng Tháng Tám, phường Bình Thủy, thành phố Cần Thơ, Việt Nam;1800329469;0111000325999;Ngân hàng Vietcombank Cần Thơ;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
17;CÔNG TY CỔ PHẦN DỊCH VỤ VÀ THƯƠNG MẠI NAM KHOA BIOTEK;NAM KHOA;793/58 Trần Xuân Soạn, Phường Tân Hưng, Thành phố Hồ Chí Minh, Việt Nam;0301888910;1400033839;Ngân Hàng TMCP Đầu Tư & Phát Triển Việt Nam - CN Sài Gòn;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
18;CÔNG TY CỔ PHẦN KIỂM NGHIỆM THỰC PHẨM VÀ MÔI TRƯỜNG NAVITEK;NAVITEK;"Lô II-1, đường số 1, nhóm CN2, khu công nghiệp Tân Bình, Phường Tây Thạnh, Thành phố Hồ Chí Minh,
Việt Nam";0316383817;00001572772;Ngân hàng TMCP Tiên Phong - CN Gia Định;31/12/26;15 ngày từ ngày xuất HĐ;
19;VIỆN KIỂM NGHIỆM AN TOÀN VỆ SINH THỰC PHẨM QUỐC GIA;NIFC;65 Phạm Thận Duật, Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội;0103991698;12410001239696; Ngân hàng Đầu tư và Phát triển Việt Nam (BIDV)-CN Hoàn Kiếm;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
20;CÔNG TY CỔ PHẦN HUẤN LUYỆN VÀ KIỂM ĐỊNH KỸ THUẬT PHƯƠNG NAM;PHƯƠNG NAM;Số 15 Đoàn Thị Điểm, Phường Vũng Tàu, Thành phố Hồ Chí Minh, Việt Nam;3501822119;2751100011002;NH TMCP Quân Đội, chi nhánh Tây Sài gòn;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
21;TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 1;QUATEST 1;Số 8 Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội;0100111602;115000002973;NH TMCP Công Thương Việt Nam, CN Nam Thăng Long;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
22;TRUNG TÂM KỸ THUẬT TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG 3;QUATEST 3;49 Pasteur, phường Sài Gòn, TP Hồ Chí Minh;0301281040;118000004544;Ngân Hàng TMCP Công thương Việt Nam - CN. Thành phố Hồ Chí Minh;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
23;PHÂN VIỆN NGHIÊN CỨU THỦY SẢN NAM SÔNG HẬU;RIFISH;Số 91 Phan Ngọc Hiển, Phường Tân Thành, Tỉnh Cà Mau;2000266444;7500201002693;"Ngân Hàng NN&PT Nông Thôn Việt Nam chi nhánh Cà
Mau";KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
24;CÔNG TY CỔ PHẦN CHỨNG NHẬN VÀ GIÁM ĐỊNH SAIGONCERT;SAIGONCERT;139 Đường Man Thiện , Phường Tăng Nhơn Phú, Thành phố Hồ Chí Minh, Việt Nam; 0314196466;115002619665;Ngân hàng VietinBank – Chi nhánh Đông Sài Gòn;31/12/26;30 ngày từ ngày xuất HĐ;
25;CÔNG TY CỔ PHẦN KHOA HỌC CÔNG NGHỆ SẮC KÝ TIÊN PHONG;SKTP;114 Trương Văn Bang, Phường Cát Lái, Thành phố Hồ Chí Minh, Việt Nam;0316445414;15000168;Ngân hàng Á Châu (ACB) - Chi nhánh Đông Sài Gòn;31/12/25;30 ngày từ ngày xuất HĐ;Tạm ngưng gửi mẫu
26;TRUNG TÂM CHẨN ĐOÁN VÀ XÉT NGHIỆM THÚ Y TRUNG ƯƠNG II;TRẠM 3; 521/1 Hoàng Văn Thụ, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh, Việt Nam; 0319038054;113637798868;Ngân hàng TMCP Công thương Việt Nam Chi nhánh 12;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
27;CÔNG TY TNHH PHÂN TÍCH KIỂM NGHIỆM VIỆT TÍN;VIỆT TÍN;42 Trần Quang Khải, Phường Tân Định, Quận 1 , TP Hồ Chí Minh;0314042018;060143579037;Ngân hàng TMCP Sài Gòn Thương Tín (Sacombank);26/2/28;30 ngày từ ngày xuất HĐ;
28;TRUNG TÂM PHÂN TÍCH VÀ THỬ NGHIỆM 2 - VINACONTROL;VINACONTROL;"Lô U18A Đường Số 22 KCX Tân Thuận, Phường Tân Thuận, Thành Phố Hồ
Chí Minh, Việt Nam";0311506751-004;181003403621;VIETCOMBANK CHI NHÁNH NAM SÀI GÒN;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
29;VIỆN Y TẾ CÔNG CỘNG THÀNH PHỐ HỒ CHÍ MINH;YTCC;159 Hưng Phú, Phường Chánh Hưng, Thành phố Hồ Chí Minh, Việt Nam;0301260925;113000007490;Ngân hàng TMCP Công Thương Việt Nam - CN 8 TPHCM;KHÔNG;Không hợp đồng, thanh toán ngay sau khi báo thanh toán;
;;;;;;;;;
