sample_matrix_group;sample_matrix;analysis_group;analysis_item_name_vi;analysis_item_name_en;public_group_code;Equipment_type;LOD;LOQ;TAT_Normal;TAT_Fast;TAT_Urgent; unit_price ; Analysis Group Whole group standard 
BAO BÌ;Bao bì;;Hàm lượng Germani;Germani (Ge) content;QCVN 12-1:2011/BYT;ICP-MS;;0.05 µg/mL;72;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng cao su tiếp xúc với thực phẩm;;Hàm lượng Chì (Pb);Lead (Pb) content;QCVN 12-2: 2011/BYT;ICP-MS;;0,25 µg/g;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng cao su tiếp xúc với thực phẩm;;Hàm lượng Cadimi (Cd);Cadmium (Cd) content;QCVN 12-2: 2011/BYT;ICP-MS;;0,25 µg/g;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng cao su tiếp xúc với thực phẩm;;Hàm lượng Kẽm (Zn) (Dung dịch ngâm thôi axit acetic 4%);Zinc (Zn) content (Immersion in acetic acid 4%);QCVN 12-2: 2011/BYT;F-AAS;;0.1µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng kim loại tiếp xúc với thực phẩm;;Hàm lượng Cadimi (Cd) (Dung dịch ngâm thôi nước);Cadmium (Cd) content (Immersion in water);QCVN 12-3: 2011/BYT;F-AAS;;0.05 µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng kim loại tiếp xúc với thực phẩm;;Hàm lượng Cadimi (Cd) (Dung dịch ngâm thôi axit citric);Cadmium (Cd) content (Immersion in citric acid);QCVN 12-3: 2011/BYT;F-AAS;;0.05 µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng kim loại tiếp xúc với thực phẩm;;Hàm lượng Chì (Pb) (Dung dịch ngâm thôi nước);Lead (Pb) content (Immersion in water);QCVN 12-3: 2011/BYT;F-AAS;;0.2µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng kim loại tiếp xúc với thực phẩm;;Hàm lượng Chì (Pb) (Dung dịch ngâm thôi axit citric);Lead (Pb) content (Immersion in citric acid);QCVN 12-3: 2011/BYT;F-AAS;;0.2µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng kim loại tiếp xúc với thực phẩm;;Hàm lượng Asen (As) (Dung dịch ngâm thôi nước);Arsenic (As) content (Immersion in water);QCVN 12-3: 2011/BYT;GF-AAS;;0.01 µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng kim loại tiếp xúc với thực phẩm;;Hàm lượng Asen (As) (Dung dịch ngâm thôi axit citric);Arsenic (As) content (Immersion in citric acid);QCVN 12-3: 2011/BYT;GF-AAS;;0.01 µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng nhựa tiếp xúc với thực phẩm;;Hàm lượng KMnO4 tiêu tốn trong nhựa;Potassium permanganate consumed content;QCVN 12-1: 2011/BYT;-;;3.0 µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng nhựa tiếp xúc với thực phẩm;;Hàm lượng Antinmon (Sb) (Dung dịch ngâm thôi Axit acetic 4%);Antimon (Sb) content (Immersion in acetic acid 4%);QCVN 12-1: 2011/BYT;GF-AAS;;0.01 µg/ml;120;;; 140.000 ; NA 
BAO BÌ;Bao bì dụng cụ bằng nhựa, cao su tiếp xúc với thực phẩm;;Hàm lượng Cadimi (Cd) trong vật liệu;Cadmium (Cd) content (in materials);"QCVN 12-1: 2011/BYT
QCVN 12-2:2011/BYT";F-AAS;;5 µg/g;120;;; 140.000 ; NA 
