STT,Tỉnh/Thành phố,Loại,Đầy đủ,Quốc Gia,Trạng Thái,Ghi chú (nếu có)
1,Hà Nội,Thành phố,Thành phố Hà Nội,Việt Nam,Actived,
2,Cao Bằng,Tỉnh,Tỉnh Cao Bằng,Việt Nam,Actived,
3,Tuyên Quang,Tỉnh,Tỉnh Tuyên Quang,Việt Nam,Actived,
4,Lào Cai,Tỉnh,Tỉnh Lào Cai,Việt Nam,Actived,
5,Điện Biên,Tỉnh,Tỉnh Điện Biên,Việt Nam,Actived,
6,Lai Châu,Tỉnh,Tỉnh Lai Châu,Việt Nam,Actived,
7,Sơn La,Tỉnh,Tỉnh Sơn La,Việt Nam,Actived,
8,Thái Nguyên,Tỉnh,Tỉnh Thái Nguyên,Việt Nam,Actived,
9,Lạng Sơn,Tỉnh,Tỉnh Lạng Sơn,Việt Nam,Actived,
10,Quảng Ninh,Tỉnh,Tỉnh Quảng Ninh,Việt Nam,Actived,
11,Phú Thọ,Tỉnh,Tỉnh Phú Thọ,Việt Nam,Actived,
12,Bắc Ninh,Tỉnh,Tỉnh Bắc Ninh,Việt Nam,Actived,
13,Hải Phòng,Thành phố,Thành phố Hải Phòng,Việt Nam,Actived,
14,Hưng Yên,Tỉnh,Tỉnh Hưng Yên,Việt Nam,Actived,
15,Ninh Bình,Tỉnh,Tỉnh Ninh Bình,Việt Nam,Actived,
16,Thanh Hóa,Tỉnh,Tỉnh Thanh Hóa,Việt Nam,Actived,
17,Nghệ An,Tỉnh,Tỉnh Nghệ An,Việt Nam,Actived,
18,Hà Tĩnh,Tỉnh,Tỉnh Hà Tĩnh,Việt Nam,Actived,
19,Quảng Trị,Tỉnh,Tỉnh Quảng Trị,Việt Nam,Actived,
20,Huế,Thành phố,Thành phố Huế,Việt Nam,Actived,
21,Đà Nẵng,Thành phố,Thành phố Đà Nẵng,Việt Nam,Actived,
22,Quãng Ngãi,Tỉnh,Tỉnh Quãng Ngãi,Việt Nam,Actived,
23,Khánh Hòa,Tỉnh,Tỉnh Khánh Hòa,Việt Nam,Actived,
24,Gia Lai,Tỉnh,Tỉnh Gia Lai,Việt Nam,Actived,
25,Đắk Lắk,Tỉnh,Tỉnh Đắk Lắk,Việt Nam,Actived,
26,Lâm Đồng,Tỉnh,Tỉnh Lâm Đồng,Việt Nam,Actived,
27,Tây Ninh,Tỉnh,Tỉnh Tây Ninh,Việt Nam,Actived,
28,Đồng Nai,Tỉnh,Tỉnh Đồng Nai,Việt Nam,Actived,
29,Hồ Chí Minh,Thành phố,Thành phố Hồ Chí Minh,Việt Nam,Actived,
30,Vĩnh Long,Tỉnh,Tỉnh Vĩnh Long,Việt Nam,Actived,
31,Đồng Tháp,Tỉnh,Tỉnh Đồng Tháp,Việt Nam,Actived,
32,An Giang,Tỉnh,Tỉnh An Giang,Việt Nam,Actived,
33,Cần Thơ,Thành phố,Thành phố Cần Thơ,Việt Nam,Actived,
34,Cà Mau,Tỉnh,Tỉnh Cà Mau,Việt Nam,Actived,
