sample matrix_group_id;sample matrix_group_code;name_vi;name_en;status;Source
6685a8ca-27fd-442c-ae54-51e97952075f;GPNM-0001;Bao bì;Packaging materials;Active;Nang luc lab HCM.
4dae050f-6be0-4ba9-bc2b-d95f331372ee;GPNM-0002;Chế phẩm sinh học;Biological products;Active;Nang luc lab HCM.
4476c07b-705f-4313-af27-d02ec64dd6b8;GPNM-0003;Đất, nước (môi trường);Soil and water (environmental samples);Active;Nang luc lab HCM.
70352a1e-8748-4990-8c75-f3bff63995c1;GPNM-0004;Dẫu mỡ động thực vật;Animal and vegetable oils and fats;Active;Nang luc lab HCM.
5ca43767-d719-4d74-8b68-dfaab4227cfa;GPNM-0005;Hóa chất;Chemicals;Active;Nang luc lab HCM.
e6ccd795-f544-49cd-a3a1-c6724a6b6273;GPNM-0006;Khác;Others;Active;Nang luc lab HCM.
5261299e-cc6e-4ce9-8421-5421bd8a5a51;GPNM-0007;Mật ong;Honey;Active;Nang luc lab HCM.
68f3813e-45d2-461b-94e1-a02191a54caa;GPNM-0008;Mẫu bênh phẩm thú y;Veterinary specimens;Active;Nang luc lab HCM.
c21c2fc2-2322-44f6-a412-56639823ec5f;GPNM-0009;Mỹ phẩm;Cosmetics;Active;Nang luc lab HCM.
62eb036e-f3aa-4abf-9291-6e291c035f25;GPNM-0010;Nông sản & sản phẩm nông sản;Agricultural products and agricultural derivatives;Active;Nang luc lab HCM.
4cc10a29-58e4-4fe3-b874-b66e02117fab;GPNM-0011;Nước ăn uống;Drinking water;Active;Nang luc lab HCM.
a59d6c27-a8f1-4e9b-9fc5-719c0532bdfb;GPNM-0012;Nước chấm;Condiments and sauces;Active;Nang luc lab HCM.
7709387b-494d-4e0e-9397-42b6a10d2498;GPNM-0013;Phân bón;Fertilizers;Active;Nang luc lab HCM.
651d550f-f48b-4a46-8a44-662fbb6220a1;GPNM-0014;Phân bón, chế phẩm sinh học;Fertilizers and biological products;Active;Nang luc lab HCM.
40188b7b-a1fe-4397-b625-ea20bb6befac;GPNM-0015;Phụ gia thực phẩm;Food additives;Active;Nang luc lab HCM.
e11a502e-a40a-4a7b-9e3e-f233723c8b91;GPNM-0016;Sữa & sản phẩm sữa;Milk and dairy products;Active;Nang luc lab HCM.
8771fbe7-f9ff-48c6-b118-d52ecaccbcca;GPNM-0017;Tacn & nguyên liệu;Animal feed and raw materials;Active;Nang luc lab HCM.
2d2891ca-199e-4cbf-ba6e-f028e0202e43;GPNM-0018;Thức ăn chăn nuôi;Animal feed;Active;Nang luc lab HCM.
7db3244f-c82b-47c5-98e1-f36b6d8f3595;GPNM-0019;Thức ăn thủy sản;Aquaculture feed;Active;Nang luc lab HCM.
c513f289-f676-4280-8c0b-ae0f0988d005;GPNM-0020;Thực phẩm;Food products;Active;Nang luc lab HCM, Chi nhánh Bạc Lieu
89c55510-b6b9-461a-9b8b-41994fd18ee2;GPNM-0021;Thủy sản và sản phẩm thủy sản;Seafood and seafood products;Active;Nang luc lab HCM.
2001dc01-f469-47dd-9c84-5f1d3a955e84;GPNM-0022;Tp bvsk;Dietary supplements (health supplements);Active;Nang luc lab HCM.
2181f6a0-e6e9-4951-a180-f5cefbb7d813;GPNM-0023;Vscn;Industrial cleaning products;Active;Nang luc lab HCM.
523e4bdc-345a-4093-a4ea-0ed59a77b582;GPNM-0024;Thủy sản;Seafood;Active;Chi nhánh Cà Mau
;;;;;Chi nhánh Cần Thơ
