STT,Mã ,Xã/Phường,Loại,"Tỉnh,Thành Phố",Quốc Gia,Trạng Thái,Ghi chú (nếu có)
1,10105001,Phường Hoàn Kiếm,Phường,Thành phố Hà Nội,Việt Nam,Actived,
2,10105002,Phường Cửa Nam,Phường,Thành phố Hà Nội,Việt Nam,Actived,
3,10101003,Phường Ba Đình,Phường,Thành phố Hà Nội,Việt Nam,Actived,
4,10101004,Phường Ngọc Hà,Phường,Thành phố Hà Nội,Việt Nam,Actived,
5,10101005,Phường Giảng Võ,Phường,Thành phố Hà Nội,Việt Nam,Actived,
6,10107006,Phường Hai Bà Trưng,Phường,Thành phố Hà Nội,Việt Nam,Actived,
7,10107007,Phường Vĩnh Tuy,Phường,Thành phố Hà Nội,Việt Nam,Actived,
8,10107008,Phường Bạch Mai,Phường,Thành phố Hà Nội,Việt Nam,Actived,
9,10109009,Phường Đống Đa,Phường,Thành phố Hà Nội,Việt Nam,Actived,
10,10109010,Phường Kim Liên,Phường,Thành phố Hà Nội,Việt Nam,Actived,
11,10109011,Phường Văn Miếu - Quốc Tử Giám,Phường,Thành phố Hà Nội,Việt Nam,Actived,
12,10109012,Phường Láng,Phường,Thành phố Hà Nội,Việt Nam,Actived,
13,10109013,Phường Ô Chợ Dừa,Phường,Thành phố Hà Nội,Việt Nam,Actived,
14,10103014,Phường Hồng Hà,Phường,Thành phố Hà Nội,Việt Nam,Actived,
15,10108015,Phường Lĩnh Nam,Phường,Thành phố Hà Nội,Việt Nam,Actived,
16,10108016,Phường Hoàng Mai,Phường,Thành phố Hà Nội,Việt Nam,Actived,
17,10108017,Phường Vĩnh Hưng,Phường,Thành phố Hà Nội,Việt Nam,Actived,
18,10108018,Phường Tương Mai,Phường,Thành phố Hà Nội,Việt Nam,Actived,
19,10108019,Phường Định Công,Phường,Thành phố Hà Nội,Việt Nam,Actived,
20,10123020,Phường Hoàng Liệt,Phường,Thành phố Hà Nội,Việt Nam,Actived,
21,10108021,Phường Yên Sở,Phường,Thành phố Hà Nội,Việt Nam,Actived,
22,10111022,Phường Thanh Xuân,Phường,Thành phố Hà Nội,Việt Nam,Actived,
23,10111023,Phường Khương Đình,Phường,Thành phố Hà Nội,Việt Nam,Actived,
24,10111024,Phường Phương Liệt,Phường,Thành phố Hà Nội,Việt Nam,Actived,
25,10113025,Phường Cầu Giấy,Phường,Thành phố Hà Nội,Việt Nam,Actived,
26,10113026,Phường Nghĩa Đô,Phường,Thành phố Hà Nội,Việt Nam,Actived,
27,10113027,Phường Yên Hoà,Phường,Thành phố Hà Nội,Việt Nam,Actived,
28,10103028,Phường Tây Hồ,Phường,Thành phố Hà Nội,Việt Nam,Actived,
29,10157029,Phường Phú Thượng,Phường,Thành phố Hà Nội,Việt Nam,Actived,
30,10157030,Phường Tây Tựu,Phường,Thành phố Hà Nội,Việt Nam,Actived,
31,10157031,Phường Phú Diễn,Phường,Thành phố Hà Nội,Việt Nam,Actived,
32,10157032,Phường Xuân Đỉnh,Phường,Thành phố Hà Nội,Việt Nam,Actived,
33,10157033,Phường Đông Ngạc,Phường,Thành phố Hà Nội,Việt Nam,Actived,
34,10157034,Phường Thượng Cát,Phường,Thành phố Hà Nội,Việt Nam,Actived,
35,10155035,Phường Từ Liêm,Phường,Thành phố Hà Nội,Việt Nam,Actived,
36,10155036,Phường Xuân Phương,Phường,Thành phố Hà Nội,Việt Nam,Actived,
